YEAR	Month	Flux	Sunspot
1999	7	164.68	173.5
1999	8	169.93	142.3
1999	9	135.78	106.3
1999	10	165.34	168.7
1999	11	191.93	188.3
1999	12	170.38	116.8
2000	1	158.72	133.1
2000	2	172.75	165.7
2000	3	208.82	217.7
2000	4	184.16	191.5
2000	5	191.04	165.9
2000	6	180.34	188
2000	7	205.5	244.3
2000	8	163.56	180.5
2000	9	182.77	156
2000	10	168.21	141.6
2000	11	180.64	158.1
2000	12	173.73	143.3
2001	1	167.5	142.6
2001	2	146.72	121.5
2001	3	178.14	165.8
2001	4	192.46	161.7
2001	5	147.52	142.1
2001	6	174.11	202.9
2001	7	131.72	123
2001	8	166.85	161.5
2001	9	234.08	238.2
2001	10	210.54	194.1
2001	11	214.57	176.6
2001	12	241.16	213.4
2002	1	227.62	184.6
2002	2	205.23	170.2
2002	3	180.7	147.1
2002	4	190.17	186.9
2002	5	179.46	187.5
2002	6	149.38	128.8
2002	7	176.7	161
2002	8	183.61	175.6
2002	9	176.33	187.9
2002	10	167.88	151.2
2002	11	169.37	147.2
2002	12	157.49	135.3
2003	1	143.73	133.5
2003	2	124.61	75.7
2003	3	132.29	100.7
2003	4	126.54	97.9
2003	5	123.26	86.8
2003	6	132.9	118.7
2003	7	128.03	128.3
2003	8	122.17	115.4
2003	9	112.67	78.5
2003	10	156.68	97.8
2003	11	148.88	82.9
2003	12	115.48	72.2
2004	1	113.9	60.6
2004	2	107.01	74.6
2004	3	112.27	74.8
2004	4	101.08	59.2
2004	5	100.02	72.8
2004	6	97.02	66.5
2004	7	120.23	83.8
2004	8	109.73	69.7
2004	9	104.44	48.8
2004	10	105.95	74.2
2004	11	115.83	70.1
2004	12	95.25	28.9
2005	1	102.86	48.1
2005	2	97.3	43.5
2005	3	90.04	39.6
2005	4	85.92	38.7
2005	5	101.65	61.9
2005	6	94.09	56.8
2005	7	100.64	62.4
2005	8	98.24	60.5
2005	9	109.55	37.2
2005	10	76.71	13.2
2005	11	86.38	27.5
2005	12	90.85	59.3
2006	1	83.32	20.9
2006	2	76.52	5.7
2006	3	75.5	17.3
2006	4	89.27	50.3
2006	5	80.83	37.2
2006	6	76.68	24.5
2006	7	75.88	22.2
2006	8	79.59	20.8
2006	9	78.02	23.7
2006	10	74.43	14.9
2006	11	86.43	35.7
2006	12	90.39	22.3
2007	1	83.76	29.3
2007	2	77.65	18.4
2007	3	72.24	7.2
2007	4	72.36	5.4
2007	5	74.36	19.5
2007	6	74.07	21.3
2007	7	71.48	15.1
2007	8	69.03	9.8
2007	9	66.98	4
2007	10	67.69	1.5
2007	11	69.39	2.8
2007	12	78.21	17.3
2008	1	74.02	4.1
2008	2	71.03	2.9
2008	3	72.99	15.5
2008	4	70.15	3.6
2008	5	68.32	4.6
2008	6	65.85	5.2
2008	7	65.67	0.6
2008	8	66.17	0.3
2008	9	67	1.2
2008	10	68.21	4.2
2008	11	68.53	6.6
2008	12	69.05	1
2009	1	69.7	1.3
2009	2	69.85	1.2
2009	3	69.1	0.6
2009	4	69.61	1.2
2009	5	70.35	2.9
2009	6	68.57	6.3
2009	7	68.19	5.5
2009	8	67.36	0
2009	9	70.32	7.1
2009	10	72.14	7.7
2009	11	73.66	6.9
2009	12	76.84	16.3
2010	1	81.31	19.5
2010	2	84.74	28.5
2010	3	82.96	24
2010	4	75.72	10.4
2010	5	73.63	13.9
2010	6	72.38	18.8
2010	7	79.6	25.2
2010	8	79.16	29.6
2010	9	80.95	36.4
2010	10	81.42	33.6
2010	11	82.56	34.4
2010	12	84.19	24.5
2011	1	83.39	27.3
2011	2	94.55	48.3
2011	3	124.26	78.6
2011	4	112.85	76.1
2011	5	95.68	58.2
2011	6	95.86	56.1
2011	7	94.34	64.5
2011	8	101.61	65.8
2011	9	135.27	120.1
2011	10	137.4	125.7
2011	11	153.5	139.1
2011	12	141.46	109.3
2012	1	134.79	94.4
2012	2	106.86	47.8
2012	3	115.71	86.6
2012	4	113.26	85.9
2012	5	121.4	96.5
2012	6	120.4	92
2012	7	137.81	100.1
2012	8	115.86	94.8
2012	9	123.4	93.7
2012	10	123.07	76.5
2012	11	121.15	87.6
2012	12	108.26	56.8
2013	1	126.83	96.1
2013	2	104.41	60.9
2013	3	111.36	78.3
2013	4	124.95	107.3
2013	5	131.43	120.2
2013	6	110.74	76.7
2013	7	115.53	86.2
2013	8	114.9	91.8
2013	9	102.83	54.5
2013	10	132.86	114.4
2013	11	148.78	113.9
2013	12	148.1	124.2
2014	1	162.69	117
2014	2	170.13	146.1
2014	3	150.5	128.7
2014	4	143.94	112.5
2014	5	130.11	112.5
2014	6	122.37	102.9
2014	7	137.9	100.2
2014	8	124.56	106.9
2014	9	146.57	130
2014	10	154.99	90
2014	11	155.74	103.6
2014	12	159.02	112.9
2015	1	142	93
2015	2	128.92	66.7
2015	3	126.89	54.5
2015	4	129.05	75.3
2015	5	120.05	88.8
2015	6	128.54	66.5
2015	7	107	65.8
2015	8	105.93	64.4
2015	9	101.99	78.6
2015	10	104	63.6
2015	11	109.68	62.2
2015	12	112.54	58
2016	1	103.64	57
2016	2	103.71	56.4
2016	3	91.43	54.1
2016	4	93.45	37.9
2016	5	93.36	51.5
2016	6	81.95	20.5
2016	7	86.31	32.4
2016	8	85.15	50.2
2016	9	87.45	44.6
2016	10	86.15	33.4
2016	11	78.58	21.4
2016	12	75.29	18.5
2017	1	77.37	26.1
2017	2	76.95	26.4
2017	3	74.69	17.7
2017	4	80.91	32.3
2017	5	73.6	18.9
2017	6	74.83	19.2
2017	7	77.58	17.8
2017	8	78.25	32.6
2017	9	95.49	43.7
2017	10	76.39	13.2
2017	11	72.28	5.7
2017	12	71.7	8.2
2018	1	70.01	6.8
2018	2	71.63	10.7
2018	3	68.26	2.5
2018	4	69.97	8.9
2018	5	70.95	13.1
2018	6	72.66	15.6
2018	7	69.61	1.6
2018	8	69.05	8.8
2018	9	68.17	3.3
